Fault Type,Voltage (V),Current (A),Power Load (MW),Temperature (Â°C),Wind Speed (km/h),Weather Condition,Maintenance Status,Component Health,Duration of Fault (hrs),Down time (hrs),Latitude,Longitude
Line Breakage,2200,250,50,25,20,Clear,Scheduled,Normal,2.0,1.0,34.0522,-118.2437
Transformer Failure,1800,180,45,28,15,Rainy,Completed,Faulty,3.0,5.0,34.056,-118.245
Overheating,2100,230,55,35,25,Windstorm,Pending,Overheated,4.0,6.0,34.0525,-118.244
Line Breakage,2050,240,48,23,10,Clear,Completed,Normal,2.5,3.0,34.055,-118.242
Transformer Failure,1900,190,50,30,18,Snowy,Scheduled,Faulty,3.5,4.0,34.0545,-118.243
Overheating,2150,220,52,32,22,Thunderstorm,Pending,Overheated,5.0,7.0,34.05,-118.24
Line Breakage,1994,233,51,23,21,Snowy,Completed,Normal,3.7,6.1,34.9449,-118.9839
Transformer Failure,2133,229,52,20,18,Snowy,Scheduled,Normal,5.4,2.1,34.2294,-118.2988
Line Breakage,2155,240,45,21,29,Rainy,Pending,Overheated,3.2,4.7,34.1279,-118.8442
Line Breakage,2065,199,55,25,21,Clear,Scheduled,Normal,4.0,2.8,34.4192,-118.8254
Overheating,2118,221,45,20,20,Clear,Completed,Normal,4.9,1.9,34.3732,-118.1586
Transformer Failure,2106,247,47,25,13,Clear,Completed,Normal,2.4,6.9,34.0465,-118.623
Line Breakage,2012,248,52,24,29,Clear,Completed,Faulty,3.9,6.4,34.9687,-118.5356
Line Breakage,2289,192,52,35,28,Rainy,Scheduled,Normal,4.1,5.8,34.3229,-118.46
Line Breakage,1848,231,49,39,13,Rainy,Scheduled,Faulty,2.7,5.0,34.2256,-118.9178
Transformer Failure,2102,246,53,38,18,Rainy,Completed,Faulty,3.5,1.9,34.7105,-118.5379
Overheating,2263,229,55,21,16,Rainy,Scheduled,Normal,4.5,6.0,34.9346,-118.9658
Line Breakage,2092,241,52,31,16,Thunderstorm,Completed,Faulty,6.0,3.7,34.1619,-118.6775
Transformer Failure,1943,245,50,30,15,Snowy,Completed,Faulty,5.1,3.7,34.5459,-118.8822
Line Breakage,2065,213,46,31,23,Clear,Pending,Normal,2.4,6.9,34.668,-118.6576
Line Breakage,1864,224,49,34,23,Thunderstorm,Scheduled,Overheated,2.7,5.9,34.1203,-118.2873
Overheating,1913,182,48,31,26,Thunderstorm,Scheduled,Overheated,5.4,4.2,34.1949,-118.16
Overheating,2284,247,47,31,15,Clear,Pending,Normal,4.5,6.2,34.3627,-118.7696
Line Breakage,1877,249,54,33,16,Snowy,Scheduled,Faulty,3.2,6.4,34.8432,-118.2489
Transformer Failure,1869,218,45,22,18,Thunderstorm,Pending,Faulty,2.8,5.4,34.8937,-118.532
Overheating,2010,197,47,35,15,Rainy,Completed,Normal,4.6,3.3,34.9593,-118.9408
Line Breakage,1915,215,47,32,13,Thunderstorm,Pending,Normal,2.8,1.9,34.2486,-118.6496
Transformer Failure,1860,246,49,36,13,Thunderstorm,Completed,Normal,4.6,2.8,34.7606,-118.9892
Line Breakage,1878,189,50,28,11,Windstorm,Completed,Normal,4.5,3.6,34.5413,-118.39
Line Breakage,2206,242,49,27,26,Clear,Scheduled,Overheated,4.4,4.6,34.8762,-118.3086
Transformer Failure,2053,235,51,21,30,Clear,Completed,Overheated,4.9,6.4,34.2413,-118.15
Overheating,2228,212,50,22,10,Clear,Pending,Faulty,3.0,4.0,34.5078,-118.5804
Overheating,2199,242,53,39,28,Windstorm,Pending,Overheated,5.5,5.0,34.4338,-118.7342
Line Breakage,2206,192,54,23,13,Rainy,Completed,Overheated,4.7,6.4,34.6017,-118.4097
Transformer Failure,1820,224,55,34,24,Thunderstorm,Pending,Normal,5.8,5.9,34.8153,-118.2817
Overheating,2264,183,48,38,15,Clear,Pending,Faulty,2.4,6.5,34.7444,-118.5682
Line Breakage,1929,225,55,31,21,Rainy,Completed,Faulty,5.1,2.9,34.7291,-118.1506
Overheating,2206,200,48,37,27,Snowy,Pending,Faulty,5.0,5.7,34.991,-118.7368
Line Breakage,1970,225,54,37,17,Snowy,Completed,Normal,5.7,1.5,34.8447,-118.1434
Transformer Failure,1895,228,48,28,25,Snowy,Completed,Faulty,5.6,5.5,34.3129,-118.5028
Line Breakage,2097,219,53,40,27,Snowy,Pending,Overheated,2.7,4.7,34.3228,-118.8885
Line Breakage,2106,231,49,24,20,Thunderstorm,Completed,Faulty,2.5,3.3,34.1986,-118.9095
Overheating,1950,190,50,27,24,Clear,Scheduled,Overheated,2.6,7.0,34.8146,-118.1125
Line Breakage,1912,211,48,34,30,Rainy,Scheduled,Normal,3.2,6.8,34.4945,-118.1668
Overheating,2084,250,54,26,23,Rainy,Pending,Overheated,3.6,4.5,34.4833,-118.5611
Transformer Failure,1986,213,51,31,21,Rainy,Completed,Overheated,3.4,6.7,34.7468,-118.2933
Line Breakage,2159,211,53,38,14,Clear,Pending,Overheated,3.9,2.9,34.3217,-118.1726
Overheating,2159,250,48,34,18,Thunderstorm,Scheduled,Faulty,4.5,4.0,34.2278,-118.6517
Transformer Failure,1811,237,53,40,11,Snowy,Completed,Overheated,2.6,5.1,34.0647,-118.0042
Line Breakage,1929,183,54,35,23,Rainy,Completed,Normal,4.6,2.9,34.9547,-118.7239
Overheating,2091,245,51,24,27,Thunderstorm,Completed,Normal,5.9,1.3,34.6747,-118.6695
Transformer Failure,1836,188,53,33,15,Rainy,Scheduled,Overheated,5.1,6.9,34.5874,-118.2254
Line Breakage,2173,195,50,22,13,Windstorm,Pending,Overheated,5.8,3.3,34.0295,-118.0712
Transformer Failure,2233,223,47,23,19,Snowy,Scheduled,Overheated,3.7,2.5,34.3813,-118.5256
Line Breakage,1916,224,55,40,12,Snowy,Completed,Normal,4.1,1.1,34.1846,-118.5986
Overheating,2149,227,46,25,10,Thunderstorm,Scheduled,Normal,3.3,2.8,34.0609,-118.4429
Overheating,2289,202,48,40,29,Windstorm,Scheduled,Overheated,2.9,3.1,34.5634,-118.1406
Overheating,2093,202,52,25,26,Rainy,Completed,Normal,4.5,6.6,34.9126,-118.4003
Line Breakage,1949,193,50,25,28,Thunderstorm,Scheduled,Normal,4.0,4.6,34.8072,-118.6883
Overheating,2275,250,51,34,13,Thunderstorm,Scheduled,Faulty,3.0,1.8,34.92,-118.0622
Transformer Failure,1983,187,52,38,13,Thunderstorm,Scheduled,Overheated,4.6,6.5,34.1883,-118.5957
Overheating,2001,249,55,26,19,Snowy,Scheduled,Faulty,5.1,2.8,34.5751,-118.4681
Overheating,1842,242,45,35,13,Snowy,Pending,Faulty,4.4,2.8,34.4263,-118.5649
Transformer Failure,2070,185,48,22,19,Thunderstorm,Pending,Overheated,4.2,4.8,34.7708,-118.3011
Overheating,2294,218,51,26,21,Thunderstorm,Scheduled,Overheated,5.5,5.4,34.048,-118.972
Overheating,2148,185,48,23,24,Rainy,Scheduled,Overheated,3.3,5.3,34.8492,-118.4913
Transformer Failure,1807,185,51,26,13,Snowy,Scheduled,Normal,4.6,6.5,34.2067,-118.3596
Transformer Failure,2223,209,50,32,11,Rainy,Scheduled,Overheated,3.0,5.0,34.9844,-118.0129
Transformer Failure,2261,219,48,40,18,Windstorm,Pending,Normal,3.7,3.5,34.6804,-118.2898
Transformer Failure,2198,242,49,39,10,Windstorm,Scheduled,Overheated,5.1,1.8,34.8426,-118.8105
Overheating,1859,200,52,22,15,Thunderstorm,Completed,Normal,5.8,2.5,34.223,-118.3624
Overheating,1945,248,49,29,28,Snowy,Scheduled,Normal,3.6,6.3,34.715,-118.305
Line Breakage,2054,205,47,36,11,Windstorm,Completed,Normal,2.4,1.2,34.9502,-118.4453
Transformer Failure,2212,188,48,33,29,Snowy,Completed,Overheated,2.6,4.6,34.1845,-118.2375
Line Breakage,2298,204,48,30,11,Thunderstorm,Scheduled,Normal,3.4,6.7,34.6629,-118.4964
Line Breakage,2129,187,51,32,14,Snowy,Pending,Normal,2.9,4.8,34.3501,-118.7994
Transformer Failure,2246,236,46,27,29,Thunderstorm,Completed,Overheated,2.6,4.3,34.658,-118.5611
Transformer Failure,2009,246,53,20,29,Rainy,Pending,Faulty,3.5,1.9,34.0567,-118.3152
Line Breakage,1801,187,51,38,13,Rainy,Pending,Normal,4.3,1.4,34.6843,-118.9941
Overheating,2092,229,49,39,22,Windstorm,Pending,Normal,4.7,4.7,34.824,-118.5236
Transformer Failure,2045,199,52,37,21,Rainy,Scheduled,Faulty,4.5,2.0,34.9801,-118.3633
Transformer Failure,1988,182,51,29,14,Clear,Completed,Faulty,4.8,4.2,34.9991,-118.1181
Line Breakage,2120,225,48,32,23,Windstorm,Completed,Overheated,3.8,6.7,34.9875,-118.875
Transformer Failure,2004,197,53,26,17,Rainy,Pending,Normal,4.3,6.7,34.3636,-118.674
Overheating,2260,239,53,33,21,Snowy,Scheduled,Faulty,2.6,1.7,34.6593,-118.3811
Overheating,2289,232,45,26,16,Snowy,Pending,Normal,4.6,6.6,34.4523,-118.0953
Transformer Failure,2155,206,51,38,15,Snowy,Pending,Overheated,4.3,1.9,34.1803,-118.557
Transformer Failure,1877,232,50,34,17,Rainy,Completed,Faulty,4.4,5.6,34.5751,-118.1992
Overheating,2146,192,46,22,10,Clear,Scheduled,Faulty,5.4,2.9,34.7353,-118.1241
Transformer Failure,1909,219,46,31,29,Snowy,Pending,Faulty,3.9,5.2,34.203,-118.8494
Transformer Failure,1881,199,47,33,13,Thunderstorm,Pending,Faulty,2.6,4.3,34.3032,-118.1977
Transformer Failure,2234,211,46,24,24,Clear,Scheduled,Normal,5.5,3.8,34.6999,-118.7188
Transformer Failure,2152,226,52,38,28,Rainy,Completed,Normal,5.9,6.7,34.1705,-118.98
Overheating,1843,227,46,25,14,Thunderstorm,Completed,Overheated,3.6,1.9,34.3438,-118.6602
Overheating,1949,190,50,39,25,Clear,Pending,Overheated,3.7,2.0,34.1971,-118.3658
Transformer Failure,2066,183,52,30,15,Clear,Pending,Normal,4.8,2.6,34.192,-118.7198
Transformer Failure,2188,238,55,22,20,Thunderstorm,Scheduled,Normal,5.5,6.6,34.3375,-118.7272
Line Breakage,1994,205,52,32,22,Clear,Pending,Overheated,3.1,3.3,34.7346,-118.9808
Transformer Failure,2201,234,51,30,14,Snowy,Pending,Faulty,4.2,3.9,34.8031,-118.1464
Transformer Failure,2143,190,55,30,26,Clear,Scheduled,Normal,5.2,1.6,34.0833,-118.5501
Line Breakage,2092,210,46,22,10,Clear,Pending,Faulty,5.5,4.7,34.1771,-118.935
Line Breakage,2296,238,55,30,13,Thunderstorm,Scheduled,Normal,4.8,2.2,34.5828,-118.0344
Overheating,2167,191,45,33,17,Rainy,Scheduled,Overheated,2.3,2.9,34.9266,-118.8144
Overheating,2162,243,54,25,25,Snowy,Pending,Overheated,4.4,6.2,34.1926,-118.1824
Transformer Failure,1890,205,49,24,27,Thunderstorm,Scheduled,Overheated,2.5,5.6,34.1849,-118.9937
Line Breakage,1916,200,51,40,28,Snowy,Pending,Faulty,4.0,2.7,34.187,-118.6786
Transformer Failure,1923,247,45,40,18,Snowy,Scheduled,Normal,2.2,4.0,34.2509,-118.6552
Overheating,2020,190,55,34,10,Clear,Completed,Overheated,5.1,6.5,34.0604,-118.2443
Overheating,1833,213,50,34,21,Windstorm,Completed,Faulty,3.2,3.9,34.6811,-118.3218
Overheating,2100,201,45,31,23,Windstorm,Completed,Faulty,5.7,6.1,34.9991,-118.8097
Transformer Failure,2031,199,47,32,23,Clear,Scheduled,Faulty,3.5,6.2,34.4636,-118.1009
Line Breakage,2205,202,47,38,15,Rainy,Scheduled,Normal,3.6,1.9,34.3994,-118.986
Transformer Failure,1881,218,53,28,17,Rainy,Completed,Overheated,4.9,3.6,34.1978,-118.5027
Line Breakage,1980,193,46,30,25,Thunderstorm,Completed,Normal,2.9,6.7,34.4873,-118.3342
Line Breakage,1957,200,50,40,19,Thunderstorm,Completed,Overheated,2.5,1.8,34.4163,-118.987
Transformer Failure,2152,196,50,38,25,Clear,Scheduled,Faulty,3.5,2.5,34.3411,-118.6266
Transformer Failure,2262,220,55,35,18,Thunderstorm,Completed,Overheated,5.2,5.2,34.6883,-118.0899
Line Breakage,2093,209,54,39,17,Rainy,Completed,Overheated,3.9,1.1,34.9655,-118.2184
Overheating,1875,221,46,36,25,Windstorm,Pending,Overheated,3.1,3.7,34.8807,-118.6159
Line Breakage,1873,226,45,35,17,Rainy,Pending,Normal,3.3,5.9,34.7913,-118.7238
Transformer Failure,2289,220,52,30,29,Thunderstorm,Scheduled,Overheated,2.8,6.5,34.5619,-118.2163
Overheating,2176,204,53,36,19,Rainy,Completed,Faulty,4.8,6.1,34.1204,-118.2666
Transformer Failure,1812,183,55,40,23,Clear,Completed,Faulty,5.1,7.0,34.261,-118.8559
Transformer Failure,2104,236,50,23,18,Windstorm,Completed,Normal,4.8,3.7,34.6259,-118.4447
Line Breakage,1808,195,45,30,27,Windstorm,Completed,Normal,3.3,5.3,34.5865,-118.6772
Overheating,1965,230,47,30,29,Clear,Pending,Faulty,3.3,5.5,34.0255,-118.5657
Line Breakage,2167,196,52,22,12,Rainy,Scheduled,Normal,4.1,6.6,34.8833,-118.9441
Line Breakage,1982,223,46,33,20,Clear,Completed,Faulty,4.2,4.1,34.0919,-118.6397
Overheating,2080,191,48,34,15,Clear,Completed,Normal,3.0,4.9,34.7897,-118.3054
Overheating,2157,208,52,21,11,Rainy,Scheduled,Normal,5.8,1.8,34.0242,-118.3571
Transformer Failure,2143,230,45,36,19,Windstorm,Scheduled,Overheated,4.9,3.5,34.323,-118.244
Line Breakage,1906,209,54,35,10,Snowy,Pending,Normal,4.3,3.2,34.0401,-118.4103
Line Breakage,1803,216,49,37,21,Thunderstorm,Completed,Normal,5.3,5.5,34.3972,-118.8477
Transformer Failure,1933,230,46,40,19,Windstorm,Scheduled,Faulty,4.4,4.9,34.3345,-118.6729
Overheating,1857,185,51,23,16,Rainy,Pending,Overheated,5.0,6.0,34.77,-118.7954
Overheating,1955,226,52,21,30,Rainy,Pending,Faulty,2.9,1.1,34.2143,-118.4067
Line Breakage,1970,206,52,32,20,Windstorm,Completed,Overheated,5.0,6.5,34.2164,-118.8191
Transformer Failure,2141,211,46,39,13,Clear,Scheduled,Overheated,2.2,1.1,34.5608,-118.7147
Transformer Failure,1995,200,46,21,21,Rainy,Pending,Normal,5.9,5.5,34.9302,-118.6966
Transformer Failure,1811,218,45,23,19,Rainy,Completed,Faulty,5.7,6.3,34.0761,-118.5825
Line Breakage,2287,183,52,25,10,Clear,Scheduled,Overheated,2.9,6.2,34.1203,-118.3633
Overheating,1811,241,46,24,16,Clear,Completed,Overheated,3.5,1.2,34.6949,-118.7269
Transformer Failure,2298,181,54,21,12,Snowy,Pending,Faulty,4.9,2.2,34.8305,-118.5876
Transformer Failure,2246,204,48,34,10,Clear,Pending,Faulty,4.2,5.2,34.0244,-118.728
Line Breakage,1946,226,46,39,21,Windstorm,Completed,Overheated,2.7,5.0,34.7156,-118.2575
Transformer Failure,1964,224,51,25,28,Windstorm,Completed,Faulty,5.9,5.6,34.7262,-118.4592
Line Breakage,2053,249,51,31,23,Clear,Pending,Faulty,5.5,3.0,34.8142,-118.2483
Transformer Failure,2076,201,45,30,26,Rainy,Pending,Faulty,4.2,6.0,34.6455,-118.5492
Line Breakage,2300,206,51,22,23,Clear,Pending,Overheated,2.2,1.6,34.8511,-118.4263
Line Breakage,2282,201,48,30,25,Clear,Completed,Overheated,5.3,3.2,34.2547,-118.4496
Transformer Failure,1912,224,51,23,17,Windstorm,Scheduled,Overheated,5.6,2.1,34.5231,-118.1806
Line Breakage,2209,193,52,24,12,Snowy,Scheduled,Faulty,3.2,2.3,34.8932,-118.0307
Overheating,1812,182,45,29,13,Rainy,Scheduled,Overheated,2.3,2.5,34.0966,-118.1855
Line Breakage,2006,181,54,29,20,Windstorm,Completed,Normal,3.2,4.7,34.4219,-118.6425
Transformer Failure,2147,242,45,35,20,Snowy,Scheduled,Faulty,4.8,6.2,34.6352,-118.4067
Transformer Failure,2016,224,55,35,10,Windstorm,Scheduled,Faulty,5.0,1.5,34.7529,-118.2302
Transformer Failure,2170,192,52,32,20,Rainy,Pending,Faulty,2.1,2.9,34.5437,-118.917
Overheating,2010,192,45,24,28,Clear,Pending,Faulty,2.3,2.1,34.8546,-118.7834
Transformer Failure,2273,248,55,21,18,Thunderstorm,Scheduled,Overheated,4.1,2.0,34.6971,-118.6118
Transformer Failure,1948,222,51,23,14,Clear,Scheduled,Faulty,3.9,1.0,34.2934,-118.8373
Overheating,2195,228,45,29,15,Rainy,Completed,Overheated,4.3,4.0,34.8068,-118.0946
Overheating,2266,194,46,25,14,Rainy,Pending,Overheated,4.3,3.6,34.4447,-118.2992
Transformer Failure,2162,247,50,40,27,Clear,Completed,Faulty,2.1,3.6,34.7943,-118.57
Overheating,1934,225,52,32,26,Rainy,Scheduled,Normal,2.1,1.5,34.4223,-118.9348
Line Breakage,2079,227,53,28,25,Clear,Pending,Normal,4.3,1.7,34.6646,-118.5539
Line Breakage,1868,230,45,31,11,Thunderstorm,Scheduled,Normal,4.1,2.6,34.2322,-118.8526
Overheating,1870,220,48,35,16,Rainy,Pending,Faulty,3.9,2.3,34.0089,-118.1196
Line Breakage,2077,189,47,24,26,Rainy,Scheduled,Faulty,4.1,6.9,34.3879,-118.3666
Overheating,2011,226,48,28,23,Clear,Completed,Normal,5.5,5.7,34.1647,-118.3731
Line Breakage,1991,230,52,39,17,Rainy,Completed,Overheated,5.8,4.1,34.1926,-118.2735
Transformer Failure,1880,210,54,36,19,Windstorm,Scheduled,Faulty,4.4,3.5,34.646,-118.2446
Overheating,1874,185,50,28,22,Snowy,Completed,Overheated,5.2,6.5,34.0848,-118.1083
Transformer Failure,2270,219,52,36,25,Windstorm,Pending,Overheated,4.8,6.5,34.8363,-118.3947
Overheating,1870,240,50,22,25,Snowy,Pending,Overheated,4.5,1.4,34.5993,-118.2142
Overheating,1947,245,48,30,20,Rainy,Pending,Normal,3.4,2.8,34.2682,-118.7287
Transformer Failure,1935,234,55,26,29,Rainy,Pending,Faulty,2.8,5.1,34.5177,-118.5885
Overheating,2208,239,54,36,15,Clear,Pending,Overheated,5.5,4.8,34.5428,-118.6789
Line Breakage,1972,203,55,35,21,Rainy,Completed,Faulty,4.9,6.6,34.5981,-118.3666
Transformer Failure,2110,189,49,23,22,Thunderstorm,Completed,Normal,2.3,5.9,34.5374,-118.8537
Transformer Failure,2081,215,53,38,23,Rainy,Completed,Normal,5.9,4.8,34.9278,-118.5452
Transformer Failure,1998,220,46,24,15,Clear,Completed,Normal,2.2,1.4,34.5953,-118.5236
Line Breakage,2201,192,55,33,16,Clear,Pending,Overheated,2.2,1.7,34.5485,-118.7316
Overheating,1923,209,48,39,29,Thunderstorm,Completed,Overheated,3.4,2.4,34.7196,-118.7158
Line Breakage,1912,201,51,26,27,Thunderstorm,Scheduled,Normal,2.4,5.4,34.5537,-118.6833
Transformer Failure,1926,232,48,27,24,Thunderstorm,Scheduled,Normal,5.7,2.7,34.8096,-118.8754
Line Breakage,2096,229,52,26,17,Clear,Scheduled,Faulty,4.8,3.7,34.2388,-118.6915
Overheating,2184,228,45,37,18,Rainy,Pending,Faulty,3.7,6.3,34.8881,-118.1494
Transformer Failure,2115,229,52,39,16,Snowy,Scheduled,Overheated,2.3,6.0,34.3221,-118.501
Overheating,1906,207,50,31,22,Snowy,Scheduled,Overheated,3.2,2.4,34.3777,-118.2119
Overheating,2151,211,55,22,24,Clear,Completed,Overheated,3.4,3.3,34.8777,-118.0393
Transformer Failure,2017,191,51,28,21,Rainy,Completed,Faulty,5.6,2.6,34.4363,-118.5547
Line Breakage,2130,246,54,36,16,Clear,Completed,Faulty,2.2,2.4,34.1685,-118.1464
Overheating,2156,250,45,28,12,Thunderstorm,Completed,Faulty,2.6,1.8,34.9158,-118.9076
Transformer Failure,1917,232,49,25,26,Clear,Scheduled,Normal,4.5,4.4,34.2785,-118.084
Overheating,2282,234,47,27,10,Rainy,Pending,Overheated,2.3,5.6,34.1759,-118.4521
Transformer Failure,1863,239,53,31,15,Rainy,Pending,Normal,3.0,1.1,34.8173,-118.8213
Line Breakage,1810,244,53,21,22,Rainy,Scheduled,Normal,3.9,6.1,34.7663,-118.4868
Line Breakage,2093,215,52,27,24,Rainy,Pending,Normal,4.9,2.0,34.8617,-118.1657
Overheating,1993,197,45,29,24,Thunderstorm,Completed,Overheated,5.0,4.3,34.7545,-118.9329
Overheating,2292,246,50,39,28,Windstorm,Completed,Overheated,5.7,2.0,34.4039,-118.4749
Transformer Failure,1837,227,49,23,29,Windstorm,Completed,Faulty,3.2,1.1,34.1262,-118.9636
Transformer Failure,2022,198,52,38,14,Snowy,Completed,Normal,2.6,6.4,34.1987,-118.984
Transformer Failure,2164,239,50,26,24,Rainy,Completed,Normal,3.0,1.9,34.2529,-118.6008
Overheating,1827,224,52,32,30,Windstorm,Scheduled,Overheated,3.2,5.9,34.9227,-118.7046
Overheating,2244,241,46,31,20,Rainy,Completed,Overheated,2.7,7.0,34.4771,-118.066
Line Breakage,1830,183,53,26,30,Thunderstorm,Completed,Normal,3.8,3.0,34.7443,-118.4384
Overheating,1945,227,45,36,28,Clear,Completed,Faulty,3.7,4.1,34.4603,-118.3782
Overheating,2089,244,46,24,22,Snowy,Pending,Overheated,3.8,5.3,34.7793,-118.2713
Transformer Failure,1900,191,54,32,18,Windstorm,Scheduled,Normal,2.2,1.1,34.144,-118.2379
Line Breakage,2013,199,51,37,28,Snowy,Scheduled,Normal,6.0,2.0,34.1945,-118.4307
Line Breakage,1833,208,52,25,25,Clear,Scheduled,Overheated,3.8,6.4,34.2655,-118.5173
Overheating,2040,213,54,37,27,Snowy,Pending,Overheated,3.3,1.9,34.7279,-118.6279
Overheating,2149,215,54,27,17,Clear,Completed,Faulty,3.1,6.6,34.8354,-118.4102
Transformer Failure,2007,186,54,29,18,Clear,Scheduled,Overheated,2.9,5.7,34.4989,-118.2757
Line Breakage,1850,249,53,31,23,Windstorm,Completed,Overheated,3.3,1.5,34.4643,-118.8467
Line Breakage,2139,188,50,21,23,Windstorm,Completed,Normal,3.7,6.9,34.6231,-118.0515
Transformer Failure,1920,242,52,32,28,Rainy,Completed,Faulty,5.4,2.7,34.9376,-118.8818
Overheating,2106,221,54,32,12,Clear,Scheduled,Normal,5.2,1.1,34.8045,-118.6639
Overheating,2278,199,45,20,25,Rainy,Scheduled,Normal,3.2,6.1,34.4285,-118.1034
Overheating,1982,191,45,25,19,Snowy,Scheduled,Normal,6.0,1.5,34.6857,-118.1732
Line Breakage,1898,201,51,35,13,Snowy,Pending,Faulty,4.5,4.2,34.6144,-118.1786
Overheating,2110,213,47,40,26,Clear,Completed,Overheated,2.9,2.7,34.2844,-118.9351
Transformer Failure,2155,240,52,31,26,Snowy,Completed,Overheated,4.8,3.4,34.8522,-118.335
Line Breakage,2141,221,48,27,24,Rainy,Pending,Normal,2.1,1.4,34.7943,-118.1529
Line Breakage,1864,199,46,29,20,Snowy,Pending,Normal,4.9,3.6,34.1477,-118.0018
Line Breakage,2143,250,54,29,16,Windstorm,Pending,Normal,3.5,3.3,34.9299,-118.3317
Transformer Failure,2236,212,51,25,25,Windstorm,Pending,Faulty,5.1,6.2,34.0661,-118.9686
Transformer Failure,2294,234,55,30,28,Rainy,Scheduled,Normal,5.8,3.5,34.1329,-118.6731
Transformer Failure,1821,197,48,36,29,Windstorm,Completed,Normal,4.9,3.5,34.8755,-118.6654
Line Breakage,2209,227,50,20,13,Windstorm,Pending,Normal,2.8,3.0,34.6315,-118.2886
Overheating,1940,247,51,36,28,Thunderstorm,Pending,Normal,3.7,6.7,34.8578,-118.2559
Line Breakage,2080,217,53,34,11,Snowy,Completed,Normal,3.6,4.8,34.455,-118.2809
Line Breakage,2275,239,54,38,17,Snowy,Pending,Normal,3.8,2.8,34.4745,-118.1218
Overheating,2142,212,51,28,10,Thunderstorm,Scheduled,Normal,2.9,5.9,34.8522,-118.1833
Line Breakage,2290,189,49,37,27,Windstorm,Scheduled,Overheated,5.5,5.4,34.397,-118.57
Overheating,2139,186,52,38,16,Thunderstorm,Pending,Overheated,3.2,1.7,34.788,-118.2311
Line Breakage,2171,222,47,37,30,Rainy,Scheduled,Overheated,3.7,3.0,34.9256,-118.611
Line Breakage,1866,213,47,29,18,Windstorm,Scheduled,Faulty,2.8,2.0,34.9466,-118.9793
Line Breakage,2077,250,55,22,12,Rainy,Scheduled,Normal,5.8,1.4,34.7651,-118.7112
Transformer Failure,2031,223,46,36,27,Windstorm,Pending,Normal,3.9,4.7,34.9651,-118.8866
Line Breakage,1890,229,48,37,18,Clear,Pending,Normal,6.0,2.0,34.3563,-118.908
Transformer Failure,2073,204,52,40,21,Clear,Completed,Faulty,5.2,3.6,34.1603,-118.1848
Overheating,1885,204,54,40,25,Thunderstorm,Pending,Overheated,2.3,7.0,34.7759,-118.5975
Line Breakage,2199,243,53,34,22,Snowy,Pending,Faulty,2.8,1.3,34.8345,-118.0662
Transformer Failure,1808,227,55,30,23,Clear,Completed,Faulty,2.3,6.1,34.1881,-118.4291
Overheating,2103,197,52,35,27,Thunderstorm,Pending,Faulty,2.5,5.9,34.5205,-118.2339
Overheating,2220,234,49,21,13,Clear,Completed,Overheated,5.9,1.8,34.3171,-118.6879
Transformer Failure,1943,223,51,22,26,Snowy,Scheduled,Faulty,3.2,2.8,34.8157,-118.0007
Line Breakage,1894,191,47,36,29,Thunderstorm,Scheduled,Faulty,2.5,6.8,34.0261,-118.7148
Transformer Failure,2095,207,54,22,17,Clear,Completed,Faulty,5.4,4.3,34.3183,-118.8763
Overheating,2164,250,54,37,19,Thunderstorm,Pending,Faulty,2.4,3.4,34.913,-118.9203
Line Breakage,1847,222,49,21,14,Clear,Scheduled,Overheated,2.0,6.3,34.3119,-118.122
